epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1021.63,1.47953,0.99458,1.35094,0.87867,0.7796,0.85299,0.50927,1.44637,0.86393,1.34999,0.005842,0.005842,0.005842
44,1362.69,1.48386,0.98336,1.3542,0.87065,0.78721,0.84975,0.50984,1.44546,0.87253,1.33425,0.005743,0.005743,0.005743
45,1702.55,1.46878,0.96231,1.34453,0.88485,0.78302,0.8475,0.51553,1.41932,0.86199,1.34542,0.005644,0.005644,0.005644
46,2044.74,1.45996,0.97767,1.3421,0.88208,0.79727,0.85902,0.52125,1.40824,0.84826,1.32566,0.005545,0.005545,0.005545
47,2386.89,1.44885,0.95805,1.34177,0.88711,0.78374,0.85561,0.52423,1.4046,0.85433,1.31521,0.005446,0.005446,0.005446
48,2727.98,1.45042,0.94839,1.33389,0.88461,0.7952,0.85668,0.5206,1.4196,0.85752,1.33056,0.005347,0.005347,0.005347
49,3069.04,1.43753,0.93971,1.32579,0.89187,0.78074,0.85669,0.52236,1.39719,0.85098,1.32965,0.005248,0.005248,0.005248
50,3410.92,1.43953,0.9267,1.33266,0.89051,0.79178,0.86497,0.53453,1.37445,0.82332,1.29158,0.005149,0.005149,0.005149
51,3752.36,1.43186,0.93985,1.32756,0.88113,0.80053,0.86142,0.53089,1.39274,0.8234,1.3108,0.00505,0.00505,0.00505
52,4093.64,1.41686,0.9066,1.31051,0.8922,0.79482,0.86293,0.53183,1.37758,0.82847,1.30874,0.004951,0.004951,0.004951
53,4435.24,1.4204,0.91483,1.31645,0.88579,0.80599,0.86295,0.53479,1.37322,0.82868,1.30892,0.004852,0.004852,0.004852
54,4777.12,1.41488,0.9009,1.31725,0.896,0.79444,0.86269,0.53648,1.3653,0.82138,1.30713,0.004753,0.004753,0.004753
55,341.105,1.35471,0.85839,1.28165,0.88591,0.80662,0.8679,0.54173,1.35808,0.80036,1.30547,0.004654,0.004654,0.004654
56,682.692,1.35322,0.85624,1.28562,0.90116,0.80521,0.87289,0.54388,1.37109,0.78751,1.30646,0.004555,0.004555,0.004555
57,1024.87,1.34601,0.85542,1.26743,0.88904,0.80853,0.87487,0.53993,1.38624,0.79242,1.30817,0.004456,0.004456,0.004456
58,1366.1,1.35257,0.84547,1.27534,0.90672,0.79711,0.86981,0.53687,1.38554,0.79791,1.30378,0.004357,0.004357,0.004357
59,1707.67,1.33401,0.83711,1.26429,0.9079,0.79711,0.86704,0.53766,1.38788,0.79839,1.31579,0.004258,0.004258,0.004258
60,2049.39,1.32989,0.83801,1.26964,0.91332,0.79635,0.87325,0.54519,1.35881,0.78451,1.2949,0.004159,0.004159,0.004159
61,2390.79,1.31581,0.82057,1.25756,0.91325,0.79711,0.86958,0.54904,1.36095,0.78939,1.29539,0.00406,0.00406,0.00406
62,2732.54,1.31833,0.82166,1.25694,0.9151,0.80167,0.87286,0.54719,1.36575,0.77993,1.29943,0.003961,0.003961,0.003961
63,3074.72,1.30417,0.80856,1.2477,0.89618,0.81164,0.87315,0.54442,1.3711,0.78735,1.30625,0.003862,0.003862,0.003862
64,3416.58,1.30722,0.80441,1.25443,0.90359,0.807,0.87564,0.55046,1.35842,0.77721,1.29176,0.003763,0.003763,0.003763
65,3758.53,1.29756,0.81215,1.24748,0.91414,0.79749,0.87248,0.54887,1.35431,0.77487,1.28438,0.003664,0.003664,0.003664
66,4100.64,1.28747,0.78311,1.23279,0.91268,0.8037,0.87423,0.55199,1.35043,0.77314,1.28087,0.003565,0.003565,0.003565
67,4442.53,1.2905,0.78844,1.23856,0.90934,0.81614,0.87388,0.54984,1.35198,0.77724,1.2882,0.003466,0.003466,0.003466
68,4783.97,1.3017,0.79133,1.24486,0.91169,0.80558,0.87337,0.54963,1.34846,0.77799,1.28545,0.003367,0.003367,0.003367
69,5125.99,1.34826,0.82731,1.26811,0.90853,0.80909,0.87407,0.55014,1.34868,0.77839,1.27981,0.003268,0.003268,0.003268
70,5467.56,1.34546,0.82563,1.26819,0.9012,0.81157,0.87264,0.55196,1.34889,0.76512,1.27854,0.003169,0.003169,0.003169
